feature_id,area,user_story,expected_behavior,code_evidence,test_evidence,manual_test,status,local_test_status,errors_found,fix_status,retest_status
NJ-009,New Job,"As a user, invalid launches are refused before any manifest or runner starts.","Launch refuses illegal cells, two-running cap, missing/low Kerberos, missing existing table, unreadable SQL, malformed template, and incomplete SqlTemplate.","dispatch/screens/new_job.py:449-471; dispatch/jobs.py:13-64; dispatch/sql.py:15-23","tests/test_pure_logic.py:382-406; tests/test_new_features.py:203-240; tests/test_phase1_safety.py:148-172","Seed two Running manifests; test low TTL and one-placeholder template.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-010,SQL Preview,"As a user, I can preview what will run before launching.","ExistingTable preview warns unavailable; SqlTemplate preview expands monthly SQL; DDL shows as-is; bare select for table destination is wrapped; missing file shows actionable error.","dispatch/screens/new_job.py:507-536; dispatch/sql.py:53-99; dispatch/screens/new_job.py:416-422","tests/test_phase1_safety.py:148-172; tests/test_new_features.py:272-293; tests/test_pure_logic.py:254-305","Press P for select, DDL, template, existing table, and missing file.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-011,Launch confirmation,"As a user, I must explicitly confirm before a job starts.","Launch validates first, opens a danger ConfirmScreen with source/destination/table/CSV/email, and cancel returns without runner launch.","dispatch/screens/new_job.py:538-610; dispatch/screens/confirm.py:11-94","tests/test_phase1_safety.py:108-145; tests/test_ui_snapshots.py:139-163","Press L, reject, then confirm.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
NJ-012,Launch execution,"As a user, confirmed launch creates a durable job and detached runner.","Job dir, job.sql, manifest, orchestrator calls, and detached runner launch are created only after confirmation; manifest writes tolerate transient Windows replace locks.","dispatch/screens/new_job.py:559-575; dispatch/manifest.py:167-198; dispatch/manifest.py:80-99; dispatch/process.py:28-43","tests/test_phase1_safety.py:108-145; tests/test_runner_integration.py:72-80; tests/test_pure_logic.py::TestManifestValidate::test_write_retries_transient_replace_permission_error","Confirm launch in mock happy_path and inspect manifest/log.",Implemented,"Automated covered; manifest retry regression passed","Windows occasionally raised PermissionError replacing manifest.tmp with manifest.json during runner completion","Added retry/backoff around atomic manifest replace","Full local validation passed"
NJ-013,Defaults and prefill,"As a repeat user or smoke harness, I can reuse common form values.","Successful launch saves schema/email/subject/destination defaults; prefill sets radios/fields, collapses matrix, hides redundant picker, and DISPATCH_TEST_PREFILL opens New Job.","dispatch/config.py:54-71; dispatch/screens/new_job.py:630-737; dispatch/app.py:98-116","tests/test_new_features.py:114-143; tests/test_prefill_seam.py:19-129","Launch once, reopen New Job; run with DISPATCH_TEST_PREFILL.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
PREV-001,SQL Preview,"As a user, I can review generated SQL before launch.","Preview shows breadcrumb, target, source/destination metadata, line-numbered SQL syntax highlighting, and line count status.","dispatch/screens/preview.py:14-88","tests/test_new_features.py:272-293","Press P from New Job and inspect scrollable preview.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
PREV-002,SQL Preview,"As a user, I can copy SQL and return without accidentally launching.","Y copies SQL or warns if clipboard unavailable; Enter/Esc/Back returns; Preview does not advertise Launch.","dispatch/screens/preview.py:27-104","tests/test_phase1_safety.py:175-184; tests/test_production_polish.py::test_preview_copy_sql_uses_clipboard_when_available","Press Y then Enter/Esc in a real terminal.",Implemented,"Automated copy and no-misleading-launch coverage",None,None,"Focused local retest passed; real terminal clipboard behavior pending"
BR-001,Browser,"As a user, I can browse Impala tables by schema/filter and select one.","Browser has schema/filter inputs, Load Tables, optional auto-load, list/count/selection status, and disabled Describe/Drop until selection.","dispatch/screens/browser.py:36-84; dispatch/screens/browser.py:117-175","tests/test_ui_ux_closure.py:364-398; tests/test_new_features.py:183-196","Open Browser, load tables, verify count and action buttons.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass; real Impala pending"
BR-002,Browser,"As a user, I can inspect a selected table schema.","Enter/Describe calls impala.describe_table, parses pipe-delimited output into Column/Type/Comment, or shows raw/error text if parsing yields no columns.","dispatch/screens/browser.py:176-233; dispatch/impala.py:31-33","tests/test_new_features.py:49-65; tests/test_mock_contract.py:203-218","Select a table and press Enter.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass; real Impala pending"
BR-003,Browser,"As a user, DROP TABLE requires strong confirmation.","Drop opens a danger modal naming the full table; user must type exact full table name; success reloads list and reports result.","dispatch/screens/browser.py:247-290; dispatch/screens/confirm.py:49-91","tests/test_phase1_safety.py:18-52; tests/test_ui_ux_closure.py:437-547","Only drop dispatch_smoke_* scratch table in smoke test.",Implemented,"Automated covered; py -m pytest passed","Production docs conflicted on whether scratch DROP was blocked","docs/production_testing.md clarified scratch-only cleanup; docs/edge-node-smoke-test.md says dispatch_smoke_* only","Full local validation passed; scratch DROP Edge smoke pending"
JOB-001,Job Detail,"As a user, I can inspect a job summary and live logs.","Detail reads manifest/log off-thread every second, caches manifest mtime, shows source/destination/state/start/elapsed/CSV, appends logs, and shows truncation hint.","dispatch/screens/job_detail.py:119-300","tests/test_ui_ux_audit_implementation.py:75-119; tests/test_production_polish.py:99-135","Open running and finished jobs.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-002,Job Detail,"As a log reader, I can pause/follow, jump, search, and copy job id.","Space/F toggles follow, g/G scroll top/bottom, slash toggles search input, Y copies or displays the job id.","dispatch/screens/job_detail.py:30-41; dispatch/screens/job_detail.py:302-341","tests/test_ui_ux_audit_implementation.py:108-119; tests/test_production_polish.py::test_job_detail_search_and_copy_job_id_are_keyboard_reachable","Tail a noisy running job and try follow/search/copy.",Implemented,"Automated follow, search, jump, and copy coverage",None,None,"Focused local retest passed; noisy real log UX pending"
JOB-003,Job Detail,"As a user, I can safely cancel only running or pending jobs.","Cancel action/button hides outside Running/Pending; running cancel opens confirmation then sends SIGTERM to process group.","dispatch/screens/job_detail.py:65-71; dispatch/screens/job_detail.py:237-240; dispatch/screens/job_detail.py:382-420; dispatch/process.py:44-46","tests/test_production_polish.py:99-135; tests/test_phase1_safety.py:55-105; tests/test_process.py:40-51","Use slow job, reject then accept cancel.",Implemented,"Automated confirmation and process-group SIGTERM gateway covered; full POSIX runner cancellation skipped on Windows","Linux/POSIX cancellation requires Edge validation","No local UX/logistical fix required; remaining gate needs Edge/Linux process validation","Local partial pass; Edge/Linux pending"
JOB-004,Job Detail,"As a user, I can rerun a completed job as a prefilled New Job.","Clone shows for Succeeded/Failed/Cancelled, loads manifest, maps source/destination/email/subject/date into New Job prefill, and preserves the prefilled destination after Textual radio mount settles.","dispatch/screens/job_detail.py:65-71; dispatch/screens/job_detail.py:343-370; dispatch/screens/new_job.py:630-699","tests/test_production_polish.py:99-115; tests/test_prefill_seam.py:19-129","Open completed job and press R.",Implemented,"Automated covered; prefill seam focused tests passed","Prefilled destination could intermittently revert to Csv after Textual default radio mount","Reapplied forced prefill radio selection after refresh and a short timer","Full local validation passed"
JOB-005,Runner,"As a user, each launch is persisted so I can disconnect and return later.","A job directory under jobs root contains job.sql, manifest.json, run.log, pid, and terminal state; TUI supervision is filesystem based.","dispatch/manifest.py:167-198; docs/adr/0001-jobs-as-on-disk-manifests.md:3-15","tests/test_runner_integration.py:72-80","Launch mock job and inspect $DISPATCH_DATA_ROOT/.dispatch/jobs.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-006,Runner,"As a user, CSV jobs write plain CSV beside my launch-time SQL files.","Csv path defaults to launch_cwd/table.csv, is recorded in manifest, and no gzipped or job-dir CSV is produced.","dispatch/manifest.py:251-321; dispatch/screens/new_job.py:485; docs/adr/0003-csv-output-uncompressed-in-user-cwd.md:3-15","tests/test_runner_integration.py::TestRunnerLifecycle::test_csv_job_writes_plain_csv_to_launch_cwd; tools/prod_tui/tests/test_cli.py::test_production_docs_map_csv_contract_to_level4","Run controlled CSV smoke from /tmp on Edge Node or py -m tools.prod_tui level --config tools/prod_tui/config.yaml --level 4.",Implemented,"New local runner coverage and Level 4 doc mapping covered","No explicit real CSV smoke existed","Added runner test, Level 3a manual CSV checklist, and Level 4 executable harness mapping","Focused and full local validation passed; Edge CSV smoke pending"
JOB-007,Runner,"As a user, Table+Csv creates a table first and exports separately to CSV.","Table+Csv builds Query_Impala_Parametrized first, then download_to_csv; runner stops on first nonzero failure.","dispatch/manifest.py:256-289; dispatch/runner.py:118-127; docs/adr/0003-csv-output-uncompressed-in-user-cwd.md:8-15","tests/test_pure_logic.py:218-225; tools/prod_tui/tests/test_cli.py::test_production_docs_map_csv_contract_to_level4","Run py -m tools.prod_tui level --config tools/prod_tui/config.yaml --level 4 and inspect Table+Csv artifact verification.",Implemented,"Automated call-order covered; Level 4 doc mapping covered",None,None,"Local automated pass; Level 4 Edge run pending"
JOB-008,Runner,"As a user launching a bare SELECT to a table, I expect table materialization.","SqlFile Table/Table+Csv non-DDL SQL is wrapped in DROP/CREATE TABLE; self-contained DDL is left unchanged.","dispatch/manifest.py:134-166","tests/test_pure_logic.py:240-305","Preview and launch select SQL and DDL SQL.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-009,Runner,"As a user, each legal job type routes to the right production script.","SqlFile->Csv calls download_to_csv query-file; ExistingTable->Csv calls download_to_csv table-name; SqlTemplate->Table calls monthly processor.","dispatch/manifest.py:273-321","tests/test_pure_logic.py:207-237","Inspect manifest.orchestrator_calls for each legal cell.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-010,Runner,"As a user, jobs survive terminal disconnects.","TUI starts dispatch.runner through nohup setsid with detached stdio; runner owns orchestrator execution.","dispatch/process.py:28-43; docs/adr/0001-jobs-as-on-disk-manifests.md:46-54","tests/test_phase1_safety.py:108-145; tests/test_process.py::test_launch_runner_uses_detached_nohup_setsid_contract","Launch slow job, disconnect/reconnect, verify manifest/log continue.",Implemented,"Automated detached launch argv and stdio contract covered",None,None,"Focused local retest passed; real disconnect survival pending"
JOB-011,Runner,"As a user, job states and logs are clear.","Runner only runs Pending, writes run.pid, sets Running with started_at/pid, streams stdout/stderr to run.log, then writes Succeeded or Failed with finished_at/exit_code.","dispatch/runner.py:101-127","tests/test_runner_integration.py:72-119; tests/test_runner_integration.py:158-179","Run happy_path, syntax_error, auth_error, table_not_found, memory_exceeded.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-012,Runner,"As an operator, corrupt or already-running jobs are not relaunched accidentally.","Bad manifest writes manifest.error.json and exits 3; non-Pending manifest exits 4 without mutation.","dispatch/runner.py:95-107","tests/test_runner_integration.py:128-149","Run dispatch.runner on bad JSON and non-Pending manifest.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-013,Runner,"As a user, cancel stops running work and marks it cancelled.","process.cancel_process_group sends SIGTERM; runner handles SIGTERM, marks Cancelled, forwards SIGTERM to current orchestrator, and escalates after timeout.","dispatch/process.py:44-46; dispatch/runner.py:45-80","tests/test_runner_integration.py:185-240; tests/test_phase1_safety.py:55-105; tests/test_process.py:40-51","Use slow job and cancel from detail.",Implemented,"UI confirmation and process-group SIGTERM gateway covered; full POSIX runner cancellation skipped on Windows",None,None,"Edge/Linux validation pending"
JOB-014,Runner,"As a user, I cannot exceed two simultaneous Running jobs.","RUNNING_CAP is 2; can_launch is false at two Running; terminal jobs do not count.","dispatch/jobs.py:13-64; dispatch/screens/new_job.py:454-455","tests/test_pure_logic.py:382-406","Seed two Running manifests and attempt launch.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-015,Kerberos,"As a user, launch is blocked if Kerberos is missing or nearly expired.","klist is queried with timeout; TTL parser returns seconds/none; launch validation blocks missing ticket and TTL under 300 seconds.","dispatch/kerberos.py:28-49; dispatch/screens/new_job.py:456-459","tests/test_pure_logic.py:21-117; tests/test_new_features.py:203-266","Set mock TTL low or run real kinit/klist on Edge Node.",Implemented,"Automated parser, timeout fallback, missing-ticket, and low-TTL coverage",None,None,"Manual Edge validation pending"
JOB-016,Impala wrapper,"As a user browsing tables, metadata operations go through Impala safely.","Wrapper calls impala-shell with Kerberos, SSL, delimited output; exposes SHOW TABLES, DESCRIBE, and DROP TABLE IF EXISTS; nonzero raises.","dispatch/impala.py:7-35","tests/test_mock_contract.py:203-239; tests/test_phase1_safety.py:18-52","Use Browser against real Impala scratch schema.",Implemented,"Automated mock covered",None,None,"Real Impala pending"
JOB-017,scr boundary,"As an operator, Dispatch reuses stable production orchestrators without broad rewrites.","Dispatch builds argv for existing scr scripts; DISPATCH_SCR_DIR configures path; shebang-less executable scripts fall back to Python.","dispatch/manifest.py:216-233; docs/adr/0005-scr-modification-policy.md:1-49","tests/test_runner_integration.py:243-276","Verify deployed scr path and Python version.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-018,Orchestrator outcomes,"As a user, retryable Impala failures are retried and fatal errors fail the job.","Production orchestrators cycle resource pools; fatal categories stop with nonzero; runner turns nonzero into Failed; queue-full failures surface capacity guidance.","scr/Query_Impala_Parametrized.py:65-165; scr/download_to_csv.py:50-123; scr/monthly_query_processor.py:30-153; dispatch/runner.py:124-127; dispatch/errors.py:7-20","tests/test_runner_integration.py:83-119; tests/test_mock_contract.py:78-129; tests/test_production_polish.py::test_job_detail_queue_failure_surfaces_capacity_guidance","Run mock scenarios syntax_error, auth_error, table_not_found, memory_exceeded, all_queues_full.",Implemented,"Automated runner outcomes and queue guidance covered",None,None,"Focused local retest passed; real cluster queue behavior pending"
JOB-019,Install,"As a user, one install command creates my runtime and launcher.","install.sh checks writable data root, Python, klist, impala-shell; creates jobs dir, venv, config, installed_version, and ~/.local/bin/dispatch.","install.sh:19-79; README.md:21-37","tests/test_install_onboarding.py:11-107","Run install.sh on Edge Node with DISPATCH_EMAIL and DISPATCH_PYTHON_BIN.",Implemented,"Automated script text and temp-home mocked install artifact smoke covered",None,None,"Manual Edge install pending"
JOB-020,Form defaults,"As a repeat user, common launch fields are remembered.","config.json form_defaults read failures return empty; save merges defaults while preserving other config keys.","dispatch/config.py:54-71; dispatch/screens/new_job.py:727-737","tests/test_new_features.py:114-143","Launch job, reopen New Job, verify defaults.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
JOB-021,Mock layer,"As a developer/reviewer, I can run locally without Hadoop, Kerberos, SMTP, or ads_storage.","mocks/dev-env sets data root, scenario, mock state, SMTP, DISPATCH_SCR_DIR, and mock bin PATH; fake impala-shell supports scenarios, metadata, CSV output, and delay.","mocks/dev-env.sh:7-27; mocks/bin/impala-shell:45-166; mocks/bin/klist:9-26; README.md:79-92","tests/test_mock_contract.py:1-263; tests/test_windows_mock_dev_env.py:22-40","Run source mocks/dev-env.sh then scenario smoke.",Implemented,"Automated covered; py -m pytest passed",None,None,"Local automated pass"
DOC-001,Production docs,"As a tester, I need safe smoke instructions that do not contradict destructive-action policy.","Production policy must block non-smoke drops while allowing cleanup of dispatch_smoke_* resources created by the current smoke run.","docs/production_testing.md; docs/edge-node-smoke-test.md","Manual doc review","Read Level 3, Level 3a, and Safety classification together.",Implemented,"Documentation fixed locally","DROP policy conflict between production_testing and edge-node-smoke-test","Fixed scratch-only cleanup wording","Full local validation passed; Edge smoke pending"
DOC-002,Production docs,"As a tester, I need Python validation commands to match the detected Edge Node Python version.","Smoke checklist and automated smoke harness should use PYTHON_BIN from python3.11 or python3.10 instead of hardcoding python3.10.","docs/edge-node-smoke-test.md; tools/prod_tui/smoke_test.py","tools/prod_tui/tests/test_smoke_install.py::test_install_check_sets_detected_python_bin","Run PYTHON_BIN commands on Edge Node.",Implemented,"Documentation and harness command fixed locally","Python version hardcoding mismatch and automated smoke install omitted DISPATCH_PYTHON_BIN","Fixed Level 1 docs and automated smoke install command to use DISPATCH_PYTHON_BIN","Full local validation passed; Edge command pending"
DOC-003,Audit docs,"As a maintainer, I need historical audit pass counts to read as historical, not current suite status.","Old UI/UX audit should label 120 passed as audit-time evidence because the current suite has grown.","docs/audits/2026-05-30-ui-ux-audit.md","Manual doc review","Read audit header and validation table.",Implemented,"Documentation fixed locally","Stale audit count wording","Marked pass count as audit-time/historical","Full local validation passed"
DOC-004,Production harness,"As a tester, I can ask the production harness for top-level help before starting an authenticated Edge session.","py -m tools.prod_tui --help prints usage, lists tmux/smoke/job/level commands, and exits successfully.","tools/prod_tui/__main__.py","tools/prod_tui/tests/test_cli.py::test_top_level_help_prints_usage_and_succeeds","Run py -m tools.prod_tui --help locally.",Implemented,"Focused CLI help regression and full local suite passed","Top-level --help returned Unknown command with exit code 1","Added shared usage printer and -h/--help handling","Full local validation passed"
DOC-005,Production harness,"As a tester, I get reliable local tmux startup and an actionable harness start failure instead of a Python traceback when SSH does not reach a prompt.","py -m tools.prod_tui tmux start --config tools/prod_tui/config.yaml opens a local shell first for psmux, sends a Windows-safe SSH command, catches timeout/auth/session-start failures, cleans up stale sessions, prints a concise error to stderr, and exits nonzero.","tools/prod_tui/robocop_tmux.py","tools/prod_tui/tests/test_tmux_commands.py::test_build_pane_command_ssh_into_repo_with_tty; tools/prod_tui/tests/test_tmux_commands.py::test_start_session_runs_local_tmux_new_session; tools/prod_tui/tests/test_tmux_commands.py::test_start_command_reports_start_failures_without_traceback","Run py -m tools.prod_tui tmux start --config tools/prod_tui/config.yaml without a live Edge prompt.",Implemented,"Focused psmux startup, quoting, and start-failure regressions passed","Harness start printed a raw traceback, used direct-command psmux startup that showed a blank pane, used Unix single-quote SSH remote command quoting on Windows, and left stale local sessions after failure","Start local shell first, send SSH into it, use Windows-safe command quoting, catch failures, and stop stale sessions","Full local validation passed; Edge SSH network/auth prompt pending"
